"location__name","location__url","location__locationId","totalReviews","avgReviews","minTicketPriceInfo","minTicketPriceInfo__price","minTicketPriceInfo__priceCurrency","ranking__value"
"Barcelona Wax Museum","https://www.tripadvisor.com/Attraction_Review-g187497-d244855-Reviews-Barcelona_Wax_Museum-Barcelona_Catalonia.html","244855","579","3.0","","15.539999961853027","EUR","792"
"Big Fun Museum","https://www.tripadvisor.com/Attraction_Review-g187497-d240500-Reviews-Big_Fun_Museum-Barcelona_Catalonia.html","240500","85","4.0","","10.350000381469727","EUR","344"
"Joan Antonio Samaranch Olympic & Sports Museum","https://www.tripadvisor.com/Attraction_Review-g187497-d2223655-Reviews-Joan_Antonio_Samaranch_Olympic_Sports_Museum-Barcelona_Catalonia.html","2223655","277","4.0","","6.510000228881836","EUR","73"
"Palau Sant Jordi","https://www.tripadvisor.com/Attraction_Review-g187497-d4123720-Reviews-Palau_Sant_Jordi-Barcelona_Catalonia.html","4123720","187","4.0","null","","","118"
"Carrer Petritxol","https://www.tripadvisor.com/Attraction_Review-g187497-d8865719-Reviews-Carrer_Petritxol-Barcelona_Catalonia.html","8865719","42","4.5","null","","","159"
"Claustro E Iglesia de la Concepcion","https://www.tripadvisor.com/Attraction_Review-g187497-d6214229-Reviews-Claustro_E_Iglesia_de_la_Concepcion-Barcelona_Catalonia.html","6214229","71","4.5","null","","","120"
"Poblenou Cemetery","https://www.tripadvisor.com/Attraction_Review-g187497-d7102217-Reviews-Poblenou_Cemetery-Barcelona_Catalonia.html","7102217","85","4.5","null","","","116"
"Parc de Cervantes","https://www.tripadvisor.com/Attraction_Review-g187497-d2625535-Reviews-Parc_de_Cervantes-Barcelona_Catalonia.html","2625535","70","4.5","null","","","148"
"Gaudi Experience","https://www.tripadvisor.com/Attraction_Review-g187497-d3360600-Reviews-Gaudi_Experience-Barcelona_Catalonia.html","3360600","460","4.0","","9.319999694824219","EUR","103"
"El Beso De Joan Fontcuberta","https://www.tripadvisor.com/Attraction_Review-g187497-d13970378-Reviews-El_Beso_De_Joan_Fontcuberta-Barcelona_Catalonia.html","13970378","22","4.5","null","","","230"
"Basilica of Our Lady of Mercy","https://www.tripadvisor.com/Attraction_Review-g187497-d591146-Reviews-Basilica_of_Our_Lady_of_Mercy-Barcelona_Catalonia.html","591146","130","4.5","null","","","59"
"Palau De La Generalitat De Catalunya","https://www.tripadvisor.com/Attraction_Review-g187497-d4597992-Reviews-Palau_De_La_Generalitat_De_Catalunya-Barcelona_Catalonia.html","4597992","136","4.0","null","","","123"
"Placa de Sant Jaume","https://www.tripadvisor.com/Attraction_Review-g187497-d7687719-Reviews-Placa_de_Sant_Jaume-Barcelona_Catalonia.html","7687719","254","4.0","null","","","102"
